,Company,Symbol,Portfolio%,??????Price,Chg,% Chg,
332,Teledyne Technologies Incorporated,TDY,0.05%,???425.43,0.53,-0.12%,
333,Steel Dynamics Inc,STLD,0.05%,???132.49,-0.48,(-0.36%),
334,Las Vegas Sands Corp.,LVS,0.05%,???53.62,0.22,-0.41%,
335,"Brown & Brown, Inc.",BRO,0.05%,???84.78,0.67,-0.80%,
336,Hubbell Incorporated,HUBB,0.05%,???370.82,3.33,-0.91%,
337,International Flavors & Fragrances Inc.,IFF,0.05%,???73.21,-1.23,(-1.65%),
338,Ball Corporation,BALL,0.05%,???62.82,0.21,-0.34%,
339,Coterra Energy Inc.,CTRA,0.05%,???25.54,-0.44,(-1.69%),
340,Waters Corp,WAT,0.05%,???337.68,5.03,-1.51%,
341,Ppl Corporation,PPL,0.05%,???26.24,-0.19,(-0.72%),
342,Invitation Homes Inc.,INVH,0.05%,???33.65,0.12,-0.36%,
343,"Axon Enterprise, Inc.",AXON,0.04%,???309.22,37.4,-13.76%,
344,Hewlett Packard Enterprise Company,HPE,0.04%,???14.86,-0.03,(-0.20%),
345,"Nasdaq, Inc.",NDAQ,0.04%,???56.32,-0.05,(-0.09%),
346,"Warner Bros. Discovery, Inc. Series a",WBD,0.04%,???8.71,0.01,-0.11%,
347,Veralto Corporation,VLTO,0.04%,???87.57,-0.22,(-0.25%),
348,Firstenergy Corp.,FE,0.04%,???36.84,-0.03,(-0.08%),
349,Clorox Company,CLX,0.04%,???153.48,1.59,-1.05%,
